type,supplier_id,supp_name,supp_ref,address,supp_address,ntn_no,gst_no,curr_abrev,terms,tax_group,phone,phone2,fax,email,payable_account,payment_discount_account,dimension_id,dimension2_id,,,,,,
SUPPLIER,45,Luxora International (Pvt) Ltd.,VD00044,No. 36/3, Nawala Road, Rajagiriya.,,,,LKR,15 Days,Tax Exempt,552055105,,,,201001,402004,0,0,,,,
SUPPLIER,46,Chemanex PLC,VD00045,CIC House, No 199, Kew RD, Colombo 02,CIC House, No 199, Kew RD, Colombo 02,,,LKR,30 Days,Tax Exempt,773113495,770211355,,,201001,402004,0,0
SUPPLIER,47,Galle Printers Private Limited,VD00046,No 41, Suderis Silva MW, Horana.,No 41, Suderis Silva MW, Horana.,,,LKR,30 Days,Tax Exempt,765510344,342264167,,galleprint@gmail.com,201001,402004,0,0,,
SUPPLIER,48,Damro - DR Industries (Pvt)Ltd.,VD00047,,,,,LKR,15 Days,Tax Exempt,761719170,769313589,,,201001,402004,0,0,,,,,,
SUPPLIER,49,Chelsy Packaging (Pvt) Ltd.,VD00048,Mo.234/1/A, Siyabalape South, Siyabalape.,,,,LKR,15 Days,Tax Exempt,773204000,779710751,,,201001,402004,0,0,,,,
SUPPLIER,50,Dollar Corporation - Retail Shop,VD00050,Pettah,,,,LKR,15 Days,Tax Exempt,777185570,,,,201001,402004,0,0,,,,,,
SUPPLIER,51,Sri Baalaji Chemical,VD00049,180/A, Central Rd, Colombo 12,,,,LKR,30 Days,Tax Exempt,773456345,,,,201001,402004,0,0,,,,
SUPPLIER,52,Creative Solutions ,VD00050,NO: 443/1, Walawwa Road, Homagama, Sri Lanka. ,NO: 443/1, Walawwa Road, Homagama, Sri Lanka. ,,,LKR,15 Days,Tax Exempt,778425609,777175563,,,201001,402004,0,0
SUPPLIER,53,Nuwan Karunarathne ,Delivery - Lorry ,,,,,LKR,30 Days,Tax Exempt,751750637,778425609,,,201001,402004,0,0,,,,,,
SUPPLIER,54,Wathsala Spectrum Holdings ,VD00052,No 382/4/2, Co-op Lane, Habarakada, Homagama. ,,,,LKR,30 Days,Tax Exempt,778425609,,,,201001,402004,0,0,,,
SUPPLIER,55,LFO Holdings (Pvt) Ltd.,VD00053,No 15 A, Kandawala Mawatha, Ratmalana.,,,,LKR,30 Days,Tax Exempt,767765635,757765695,,,201001,402004,0,0,,,,
