S.No,Name,Short Name,Branch Name,City/Area,Email,TIN No,NIC No,VAT No,Business Registration No,SMS Phone,Currency,Sales Type,Payment Terms,DOB,Discount,Credit Limit,Address,Salesman,Location,Tax Group,Sales Discount Account,Receivable Account,Prompt Payment Discount,Credit Allowed,Credit Status,Status,General Notes,Sales Group,Relationship Manager
11,HerbCey,0714872517,Mr. Kavin SK,Ahangama,,,,,,0714872517,LKR,Retail,COD-IML,11/08/2025,0,0,"Ladduma, Uvaparanagama",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
12,The Serenity Cove,0776970580,The Serenity Cove,Ahangama,,,,,,0776970580,LKR,Retail,COD-IML,23/09/2025,0,0,"No. 8, Back to life home, Welhengoda, Ahangama.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
13,Mawak Eco Villa,0777852237,Mawak Eco Villa,Ahangama,,,,,,0777852237,LKR,Retail,Bank Transfer,04/11/2025,0,0,"No.170A, Pahala Kumbura, Rathmalgoda, Poruwadanda.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
14,Abode Ahangama ,0778526091,Abode ahangama ,Ahangama,,,,,,0778526091,LKR,Retail,Bank Transfer,15/12/2025,0,0,"No.291/B, Galle Road, Goviyapana, Ahangama.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
15,Moringa Hotels Private Limited,0777728615,Moringa hotels Private Limited,Ahangama,,,,,,0777728615,LKR,Retail,COD-IML,12/01/2026,0,0,,SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
16,Sinharaja Cottage ,0716013500  ,Sinharaja Cottage ,Ahungalla,,,,,,0716013500  ,LKR,Retail,COD-IML,05/09/2025,0,0,"Kosmulla Lankagama Road, Neluwa,",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
17,Dihara Dasanayeka,0774163017,Dihara Dasanayeka,Akuressa,,,,,-,0774163017,LKR,Retail,COD-IML,0000-00-00,0,0,204B  Deegala  Lenama  Akuressa.,Rumesh,Default,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
18,Bhagy Nature&#039;s Nook,0763225232,Bhagy Nature’s Nook,Akuressa,,,,,,0763225232,LKR,Retail,COD-IML,23/05/2025,0,0,"No.61, Dibulkubura, Rikillagaskada. 
 ",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
19,Cleany Products,0773755275,Cleany Products,Akuressa,,,,,,0773755275,LKR,A Category - 18%,30 Days,13/11/2025,0,0,"Thepudeniya, Kananke Bazzar, Akuressa.",SA2 - DC,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - WS,
20,Hanka Villa,0711839168,Hanka Villa,Ambalangoda,,,,,,0711839168,LKR,Retail,15 Days,03/10/2024,0,0,"No. 517, Galle RD, Walagedara,
Balapitiya.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
21,Villa 55,0773882055,Villa 55,Ambalangoda,,,,,,0773882055,LKR,Retail,COD-IML,01/12/2024,0,0,"Beach RD, Ambalangoda.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
22,Beyond The Sea By Ceylonese,0778200171,VIDARSHANA RESIDENCIES ,Ambalangoda,,,,,,0778200171,LKR,Retail,Bank Transfer,06/12/2024,0,0,"Beyond The Sea Hotel, Wenamulla, Madampagama, Ambalangoda.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
23,Casora Hiriketiya,0715266451,Casora Hiriketiya,Ambalangoda,,,,,,0715266451,LKR,Retail,COD-IML,10/04/2025,0,0,"Samadi bakery, Samagipura, Dodampahala, Dickwella.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
24,Muthu Villa 94,0777629804,Muthu Villa 94,Ambalangoda,,,,,,0777629804,LKR,Retail,COD-IML,21/10/2024,0,0,"30/A, Patabedimulla, Ambalangoda",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
25,Nuraai River Chalets,0774008609,Nuraai River Chalets,Ambalangoda,,,,,,0774008609,LKR,Retail,COD-IML,10/04/2025,0,0,"No 22 Poyaseema Mawatha, Ambalangoda.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
26,Hiriketiya Studios,0777864234,Hiriketiya Studios,Ambalangoda,,,,,,0777864234,LKR,Retail,COD-IML,14/08/2025,0,0,"05 Hiriketiya Rd, Dikwella",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
27,The Smiling Leaf,0774938566,The Smiling Leaf,Ambalangoda,,,,,,0774938566,LKR,Retail,COD-IML,18/08/2025,0,0,"447, Gangewaththa, Idanthota, Ambalangoda",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
28,Shanu Electric,0778609864,Shanu Electric,Ambalangoda,,,,,,0778609864,LKR,Retail,Bank Transfer,09/10/2025,0,0,"No 24, Karunagama, Galagoda, Kulugoda, Ambalangoda",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
29,Yara Eleven,0777521671,Yara Eleven,Ambalangoda,,,,,,0777521671,LKR,Retail,COD-IML,18/11/2025,0,0,"Wenamulla, Kuleegoda, Ambalangoda.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
30,Roo Water Villa ,0775909985,Roo Water Villa ,Ambalangoda,,,,,,0775909985,LKR,Retail,COD-IML,24/11/2025,0,0,"NO.34, C.W.W.Kannagara Mawatha, Randobe, Amabalangoda",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
31,Nack Products,0773113495,Nack Products,Ambalangoda,,,,,-,0773113495,LKR,B Category - 15%,30 Days,0000-00-00,0,0,"Wije Mawatha, Elpitiya.",SA2 - DC,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
32,Kanimadala Boutique Resort,0772348328,Kanimadala Boutique Resort,Anuradhapura,,,,,-,0772348328,LKR,Retail,COD-IML,0000-00-00,0,0,Nagasena Mawatha  Anuradhapura.,Rumesh,Default,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
33,S&D Resort,0773076770,S&D Resort,Anuradhapura,,,,,-,0773076770,LKR,Retail,COD-IML,0000-00-00,0,0,Trincomalee road  Mihinthale.,Rumesh,Default,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
34,Lakruu Holiday Home,0767939194,Lakruu Holiday Home,Anuradhapura,,,,,,0767939194,LKR,Retail,COD-IML,31/03/2025,0,0,"No/11L, Victory Range, Bandarapuliyankulama, Anuradhapura.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
35,Abhayawewa Resort,0767603623,Abhayawewa Resort,Anuradhapura,,,,,,0767603623,LKR,Retail,COD-IML,20/11/2024,0,0,"Abhayawewa Resort, Arippu Rd, Thissawewa, Anuradhapura.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
36,Andorra Tourists Resort,0766320503,Andorra Tourists Resort,Anuradhapura,,,,,,0766320503,LKR,Retail,COD-IML,29/03/2025,0,0,"No. 10/02/L, Nuwarawewa Watta, Jaffna Junction, Anuradhapura.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
37,Nehansa Resort And Safari,0765668325,Nehansa Resort And Safari,Anuradhapura,,,,,,0765668325,LKR,Retail,COD-IML,03/04/2025,0,0,"Debarawewa, Tissamaharama.
",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
38,Cattleya Resort ,0770550326,Cattleya Resort ,Anuradhapura,,,,,,0770550326,LKR,Retail,COD-IML,02/06/2025,0,0,"NO 32/2c, Niwaththakachethiya Road, Ramakelaya, Anuradhapura.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
39,The Residance By Amaya,0776440164,The Residance By Amaya,Anuradhapura,,,,,,0776440164,LKR,Retail,COD-IML,02/06/2025,0,0,"10/2/L, Nuwarawewa Watta, Jaffna Junction,  Anuradhapura.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
40,Sahasra Sounds Entertainment,0727515415,Sahasra Sounds Entertainment,Anuradhapura,,,,,,0727515415,LKR,Retail,COD-IML,06/06/2025,0,0,"No 163, Muwapetigewela, Dehiattakandiya. ",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
41,Lolu Village Resort ,0711823331,Lolu Village Resort ,Anuradhapura,,,,,,0711823331,LKR,Retail,COD-IML,12/06/2025,0,0,"Lolugaswewa, Anuradhapura.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
42,S.A.Rahman,0754607522,S.A.Rahman,Anuradhapura,,,,,,0754607522,LKR,Retail,COD-IML,17/07/2025,0,0,"No :- 71/B1, Jayanthimawatha, Anuradhapura ",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
43,Mikoshi Villa,0713000094,Mikoshi Villa,Anuradhapura,,,,,,0713000094,LKR,Retail,Bank Transfer,25/07/2025,0,0,"Galkanuwa Road, Gorakana, Panadura",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
44,Kumbuk Sewana Villa ,0771983192,Kumbuk Sewana Villa ,Anuradhapura,,,,,,0771983192,LKR,Retail,COD-IML,20/08/2025,0,0,"Kannattiya, Mihinthalaya, Anuradhapura ",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
45,Salubrious Resort,0777786442,Salubrious Resort,Anuradhapura,,,,,,0777786442,LKR,Retail,COD-IML,08/09/2025,0,0,"Kurunegala Rd, Akankulama junction, Anuradhapura.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - WS,
46,Road Spa,0750990531,Road Spa,Anuradhapura,,,,,,0750990531,LKR,Retail,COD-IML,15/10/2025,0,0,"No.113 / thalpitiya uthura Pinwaththa, Panadura.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Salons & Spa,
47,Yohan Randika Jayasekara ,0770509616,Mr.Yohan,Anuradhapura,,,,,,0770509616,LKR,Retail,COD-IML,17/10/2025,0,0,"No 60, Sea avenue, Tangalle",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - WS,
48,Waydetect Hotels and Resorts pvt ltd,0768267540,Thissa wild Heaven,Anuradhapura,,,,,,0768267540,LKR,Retail,COD-IML,14/11/2025,0,0,"No.385/12 Shanthi mawatha, Kirillawala, Kadawatha",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
49,Danidu City House,0715140720,Danidu City House,Anuradhapura,,,,,,0715140720,LKR,Retail,COD-IML,24/11/2025,0,0,"Kurunegala Road, Alankulama Junction, Anuradhapura.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
50,Sweet Home Tourist Rest,0769409598,Sweet Home Tourist Rest,Anuradhapura,,,,,,0769409598,LKR,Retail,COD-IML,18/12/2025,0,0,"No 177, Deepani school road, Quarry mawatha, Wannithammennawa, Anuradhapura",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
51,Siyana Resort,0702280042,Siyana Resort,Anuradhapura,,,,,,702280042,LKR,Retail,COD-IML,13/01/2026,0,0,"5 1/4 kanuwa, Aluth wewa para,
Moragoda ,Srawasthipura, Anuradhapura.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
52,Bay Vista Hotel,0766684902,Bay Vista Hotel,Arugambay,,,,,-,0766684902,LKR,Retail,Bank Transfer,0000-00-00,0,0,"No. 227, Main Street,
Ulla, Arugambay.",Rumesh,Default,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
53,Beach View,0770559500,Beach View,Arugambay,,,,,-,0770559500,LKR,Retail,COD-IML,0000-00-00,0,0,Arugambay  pottuvil.,Rumesh,Default,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
54,Blue Waters,0776790901,Blue Waters,Arugambay,,,,,-,0776790901,LKR,Retail,COD-IML,0000-00-00,0,0, Kottukal Beach Road  P-20 Pottuvil Point  Arugambay.,Rumesh,Default,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
55,Exotic Beach Resort,0771701298,Exotic Beach Resort,Arugambay,,,,,-,0771701298,LKR,Retail,COD-IML,0000-00-00,0,0,Urani  Pottuvil.,Rumesh,Default,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
56,Hakuna Matata,0771808771,Hakuna Matata,Arugambay,,,,,-,0771808771,LKR,Retail,COD-IML,0000-00-00,0,0,Water music road  Arugambay  Pothuwil.,Rumesh,Default,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
57,Komari Villa,0777866542,Komari Villa,Arugambay,,,,,-,0777866542,LKR,Retail,COD-IML,0000-00-00,0,0,"Arugambay Lighthouse RD, Mallanchanei, Komari.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
58,Sand Dune Beach Villa ,0773408438,Sand Dune Beach Villa ,Arugambay,,,,,-,0773408438,LKR,Retail,COD-IML,0000-00-00,0,0,Sand Dune Beach Hotel Rd  Arugam Bay  32500.,Rumesh,Default,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
59,Tropicana Home Stay,0755599014,Tropicana Home Stay,Arugambay,,,,,,0755599014,LKR,Retail,15 Days,18/02/2025,0,0,"J. Jesath Mohamed, Main Street, Arugambay, Pottuvil-18.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
60,Dreamy Hostel,0758762749,Dreamy Hostel,Arugambay,,,,,,0758762749,LKR,Retail,COD-IML,31/01/2025,0,0,"100 Ali Cross Rd, Arugam Bay.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
61,Hotel Stay Golden,0774909609,Hotel Stay Golden,Arugambay,,,,,,0774909609,LKR,Retail,COD-IML,21/03/2025,0,0,"Cemetery Road, Arugam Bay, Pottuvil 18.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
62,Pineapple Surf Hotel,0782312483,Pineapple Surf Hotel,Arugambay,,,,,,0782312483,LKR,Retail,COD-IML,08/05/2025,0,0," Main Street, Pottuvil, Arugambay.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
63,Forcus Cabana,0779187942,Forcus Cabana,Arugambay,,,,,,0779187942,LKR,Retail,COD-IML,27/05/2025,0,0,"Arugambay, Pottuwill.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
64,The Wave Rooms & Hostel ,0752078922,The Wave Rooms & Hostel ,Arugambay,,,,,,0752078922,LKR,Retail,COD-IML,02/06/2025,0,0,"The Wave Rooms & Hostel, Arugambay
Pottuvil.
",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
65,Waydetect Hotels and Resorts pvt ltd,0768267540,Waydetect Hotels and Resorts pvt ltd,Arugambay,,,,,,0768267540,LKR,Retail,COD-IML,14/11/2025,0,0,"No.385/12 Shanthi mawatha, Kirillawala, Kadawatha",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
66,River Side Hotel,0774373360,River Side Hotel,Badulla,,,,,,0774373360,LKR,Retail,COD-IML,21/05/2025,0,0," No 27, Lower Kings Street, Badulla.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
67,Mr. Roshan Lakmal,CM0083,Mr. Roshan Lakmal,Balangoda,,,,,,0710662288,LKR,Retail,15 Days,02/09/2024,0,0,"MSRL Samaraweera,
Rattharan Arawa,
Imbulpe,
Balangoda,",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
68,Nature Springs Belihuloya,0778748484,Nature Springs Belihuloya,Balangoda,,,,,,0778748484,LKR,Retail,Bank Transfer,24/06/2025,0,0,"46 A 2
Rathmalavinnaa
Balangoda",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
69,Jayamini Product & Distributors,0710662288,Jayamini Product & Distributors,Balangoda,,,,,,0710662288,LKR,Retail,COD-IML,26/05/2025,0,0," Imbulpe, Balangoda.
",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
70,Top Resot ,0775923128,Top Resot ,Balangoda,,,,,,0775923128,LKR,Retail,COD-IML,10/10/2025,0,0,"Samanalawaththa, Balangoda",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
71,Queens Mount Eco Habitat,0778517896,Queens Mount Eco Habitat,Balapitiya,,,,,,0778517896,LKR,Retail,15 Days,21/03/2025,0,0,"183/5, Berathuduwa road, Andadola, Balapitiya",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
72,Super Residence ,0771919523,Super Residence ,Balapitiya,superresidence2022@gmail.com,,,,,0771919523,LKR,Retail,COD-IML,21/10/2024,0,0,"35/17, Suchithrarama Temple RD, Walagedara, Balapitiya",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
73,Intage Private Cabana,0779809517,Intage Private Cabana,Balapitiya,,,,,,0779809517,LKR,Retail,COD-IML,07/05/2025,0,0,"149, Radawana rd, Yakkala.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
74,DK Holdings,0771056626,DK Holdings,Bandarawela,,,,,-,0771056626,LKR,B Category - 15%,30 Days,0000-00-00,0,0,"Kumbalwela, Bandarawela.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
75,Dowa Elegance Resort ,0778995852 ,Dowa Elegance Resort ,Bandarawela,,,,,,0778995852 ,LKR,Retail,COD-IML,09/07/2025,0,0,"Uva Dickarawa Estate, Kithal Ella Road,
Heeloya, Bandarawela. ",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
76,Sadew Enterprises,0763045115,Sadew Enterprises,Bandarawela,,,,,,0763045115,LKR,B Category - 15%,30 Days,21/07/2025,0,0,"Mathetilla, Bandarawela.",SA2 - DC,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - WS,
77,Belihuloya Hideout Villa,0702099890,Belihuloya Hideout Villa,Belihuloya,,,,,,0702099890,LKR,Retail,COD-IML,11/11/2024,0,0,"Seelogama, Belihuloya",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
78,Amber House Lanka,0773788340,Amber House Lanka,Benthota,,,,,,0773788340,LKR,Retail,15 Days,10/10/2024,0,0,"No. 125/14, Gangabada Road, Aluthgama.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
79,Ishara Traders ,0773448671 ,Ishara Traders ,Benthota,,,,,,0773448671 ,LKR,Retail,15 Days,06/11/2024,0,0,"No. 316, Main Street, Dharga Town.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - WS,
80,Coconut Cave Lodge,0754123023,Coconut Cave Lodge,Benthota,,,,,,0754123023,LKR,Retail,COD-IML,24/04/2025,0,0,"Kethsiri Mawatha, Kasingama, Thissamahramaya.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
81,Salahudeen Sons Group,0770170777,Salahudeen Sons Group,Beruwala,,,,,,0707270777,LKR,Retail,COD-IML,02/05/2025,0,0,"84/B, Old road, Hattiyakanda, Beruwala.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
82,Sunbeam Family Resort,0768436194,Sunbeam Family Resort,Chilaw,,,,,,0768436194,LKR,Retail,COD-IML,20/08/2025,0,0,"No.11/5, Rathna Uyana road, Chilaw.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - WS,
83,Sakura Spa,CM0058,Sakura Spa,Colombo,,,,,-,,LKR,Retail,COD-IML,0000-00-00,0,0,7th Lane  No1  Meeranderu  Kollupitiya  Colombo 3.,Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Salons & Spa,
84,Tarshish Villa,0112302952,Tharshish Villa,Colombo,,,,,-,0112302952,LKR,Retail,COD-IML,0000-00-00,0,0,85/2  Anagarika Dharmapala mawatha  colombo 7.,Rumesh,Default,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
85,Clenz.lk (Pvt)Ltd,0714106969,Clenz.lk (Pvt)Ltd,Colombo,,,,,,0714106969,LKR,Retail,15 Days,30/08/2024,0,0," 32/A/15, Field View Avenue, Yodha Mawatha, Piliyandala.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - WS,
